customer_key,customer_name,segment,loyalty_tier,signup_date,geography_key
198,Karen Robinson,Consumer,None,2025-11-19,6
199,Karen Brown,Small Business,Silver,2025-01-17,12
200,Anthony Martin,Consumer,None,2025-08-11,9
201,Aisha Thompson,Consumer,None,2025-07-22,12
202,Barbara Hernandez,Consumer,None,2025-09-26,29
203,James Thomas,Small Business,Platinum,2024-07-18,9
204,Fatima Lee,Small Business,None,2025-02-22,32
205,Mark Thomas,Consumer,Gold,2024-03-25,11
206,Joseph Martinez,Consumer,None,2024-10-08,3
207,Sandra Jackson,Consumer,Silver,2025-07-16,32
208,Sarah Harris,Small Business,None,2025-07-09,24
209,Mark Moore,Consumer,Gold,2025-03-11,14
210,Jessica Martinez,Consumer,Gold,2025-04-05,3
211,Jennifer Anderson,Consumer,Silver,2024-08-30,8
212,Daniel Ramirez,Consumer,Gold,2024-06-18,28
213,Susan Sanchez,Consumer,None,2025-08-06,4
214,Aisha Garcia,Consumer,None,2024-10-26,21
215,Fatima Lewis,Enterprise,Gold,2024-05-18,7
216,Patricia Rodriguez,Consumer,Silver,2024-05-15,9
217,Jessica Harris,Consumer,Silver,2025-05-16,26
218,Anthony Gonzalez,Consumer,Gold,2024-03-18,29
219,Jennifer Gonzalez,Small Business,Gold,2024-10-11,33
220,Sandra Thomas,Consumer,Gold,2025-08-18,21
221,Jennifer White,Small Business,None,2025-10-12,30
222,John Sanchez,Enterprise,Gold,2024-08-11,26
223,Wei Rodriguez,Consumer,Silver,2024-10-17,21
224,Yuki Ramirez,Small Business,Gold,2024-12-17,32
225,Robert Brown,Consumer,Gold,2024-01-17,30
226,Mark Anderson,Consumer,Silver,2025-03-14,1
227,David Lewis,Small Business,Gold,2024-06-11,20
228,Jennifer Lee,Consumer,Silver,2024-09-13,24
229,William Johnson,Consumer,Silver,2025-10-02,26
230,Joseph Wilson,Consumer,Silver,2024-04-07,6
231,David Jackson,Small Business,None,2025-06-15,15
232,Nancy Clark,Small Business,Silver,2025-03-08,8
233,Joseph Gonzalez,Consumer,None,2024-04-14,6
234,Karen Jones,Consumer,Silver,2024-05-16,25
235,John Taylor,Small Business,None,2025-09-16,1
236,Susan Lee,Consumer,None,2025-02-25,10
237,Susan Williams,Small Business,Silver,2024-05-23,7
238,Matthew Lopez,Small Business,None,2024-11-18,28
239,Jennifer Davis,Small Business,Silver,2024-01-28,19
240,Karen Miller,Consumer,Silver,2025-09-13,34
241,Charles Lee,Consumer,None,2024-09-02,4
242,Wei Lee,Small Business,None,2025-06-24,5
243,Lisa Robinson,Consumer,Gold,2024-05-15,21
244,Anthony Lopez,Enterprise,Gold,2025-04-27,12
245,Mary Jackson,Consumer,None,2024-01-15,5
246,Patricia Sanchez,Consumer,Silver,2025-06-02,26
247,Anthony Wilson,Consumer,Silver,2024-03-25,26
248,Elizabeth Rodriguez,Consumer,Gold,2024-11-13,6
249,Elizabeth Moore,Consumer,Gold,2025-02-04,21
250,John Martinez,Consumer,None,2024-09-01,28
251,Margaret Brown,Consumer,None,2025-09-18,30
252,Barbara Brown,Small Business,None,2024-05-20,1
253,Daniel Taylor,Consumer,None,2024-09-22,34
254,Sarah White,Consumer,None,2024-01-31,8
255,Carlos Williams,Consumer,Silver,2025-08-13,17
256,Fatima Lopez,Small Business,None,2025-05-26,4
257,William Rodriguez,Small Business,None,2025-08-10,7
258,Fatima Smith,Consumer,Silver,2024-01-13,3
259,Matthew Robinson,Enterprise,Gold,2024-07-02,10
260,Diego Sanchez,Consumer,None,2024-08-17,27
261,Christopher Rodriguez,Consumer,Silver,2025-08-08,5
262,Patricia Garcia,Enterprise,Platinum,2025-06-12,15
263,John Lewis,Small Business,None,2024-10-16,30
264,Jennifer Moore,Consumer,None,2024-01-09,30
265,Karen White,Consumer,Platinum,2025-04-20,16
266,Richard White,Consumer,None,2024-06-03,16
267,Joseph Moore,Small Business,Gold,2025-10-13,23
268,Nancy Smith,Consumer,Silver,2024-11-10,25
269,Jessica Wilson,Enterprise,None,2024-03-02,32
270,Sarah Williams,Small Business,Silver,2024-08-25,3
271,Lisa Anderson,Consumer,None,2025-08-17,6
272,Betty Williams,Small Business,None,2025-03-21,4
273,Charles Rodriguez,Small Business,Silver,2025-02-06,21
274,Christopher Anderson,Consumer,None,2024-08-27,18
275,Amara Brown,Consumer,Silver,2024-04-18,10
276,Anthony Brown,Consumer,Silver,2024-07-31,23
277,Linda Williams,Small Business,Silver,2024-11-07,11
278,Robert Miller,Consumer,None,2024-05-31,21
279,Daniel Gonzalez,Small Business,None,2024-02-20,33
280,Barbara Smith,Consumer,Silver,2025-04-08,26
281,Michael Anderson,Consumer,None,2024-05-23,7
282,Joseph Jones,Consumer,Silver,2025-02-14,13
283,Jennifer Jackson,Consumer,None,2024-03-17,17
284,Mark Sanchez,Enterprise,Gold,2024-04-04,9
285,Nancy Brown,Consumer,Gold,2025-04-17,3
286,Margaret Clark,Consumer,Silver,2025-05-23,26
287,Barbara Lopez,Consumer,None,2024-07-10,14
288,Elizabeth Johnson,Consumer,None,2025-10-24,16
289,Diego Thomas,Consumer,None,2024-03-30,4
290,Richard Lee,Consumer,Gold,2024-09-12,34
291,Mary Gonzalez,Consumer,Silver,2025-05-06,23
292,Yuki Taylor,Consumer,None,2025-02-01,21
293,Liam Davis,Consumer,Platinum,2024-10-14,2
294,Carlos Lopez,Consumer,Silver,2024-06-12,15
295,Sarah Moore,Consumer,Platinum,2024-08-12,4
296,Matthew Lopez,Consumer,None,2024-06-29,12
297,Daniel Robinson,Enterprise,Silver,2024-12-26,2
298,Yuki Miller,Consumer,Silver,2025-07-09,32
299,Jennifer Johnson,Consumer,Silver,2025-09-08,15
300,James Hernandez,Consumer,None,2024-05-13,13
301,Christopher Johnson,Consumer,Gold,2024-05-31,2
302,Linda Ramirez,Enterprise,None,2025-01-08,34
303,Betty Jackson,Consumer,None,2024-12-10,7
304,William White,Enterprise,Silver,2025-10-16,28
305,Barbara Thompson,Small Business,Gold,2024-08-16,23
306,Matthew Martinez,Consumer,None,2024-05-10,19
307,Yuki Gonzalez,Consumer,Gold,2024-07-05,3
308,Sofia Davis,Consumer,Silver,2025-05-23,7
309,Jessica Lopez,Consumer,Platinum,2024-06-20,21
310,Nancy Anderson,Consumer,Silver,2024-09-28,1
311,Daniel Rodriguez,Consumer,None,2024-01-02,7
312,Anthony Garcia,Small Business,None,2025-05-19,27
313,Matthew Brown,Small Business,Silver,2025-08-14,31
314,William Anderson,Consumer,None,2024-02-04,5
315,Michael Williams,Small Business,None,2024-06-23,22
316,John Moore,Consumer,Silver,2024-12-12,6
317,Priya Thompson,Enterprise,None,2025-03-17,2
318,Margaret Garcia,Consumer,Platinum,2024-04-13,4
319,Anthony Thompson,Consumer,None,2025-11-07,17
320,Patricia Gonzalez,Consumer,None,2024-06-06,32
321,Jennifer Martinez,Consumer,None,2024-07-23,31
322,Charles Williams,Consumer,None,2024-04-28,31
323,Wei Lewis,Consumer,None,2024-04-03,17
324,Lisa Lewis,Consumer,None,2025-01-13,25
325,Mark Anderson,Small Business,Silver,2024-08-19,17
326,Elizabeth Harris,Small Business,Gold,2024-03-28,7
327,Anthony Harris,Consumer,None,2025-07-20,15
328,Carlos Wilson,Small Business,Silver,2025-08-09,31
329,Jennifer Gonzalez,Consumer,Silver,2025-05-29,3
330,Yuki Perez,Enterprise,None,2024-05-03,10
331,William Miller,Consumer,None,2024-05-09,13
332,Margaret Miller,Consumer,Gold,2025-09-01,10
333,John Williams,Consumer,None,2025-07-23,25
334,Sarah Taylor,Small Business,Silver,2024-01-13,30
335,Carlos Sanchez,Consumer,None,2024-04-25,27
336,Amara Jackson,Consumer,None,2024-04-18,7
337,Charles Ramirez,Consumer,Silver,2025-02-24,23
338,Yuki Martin,Consumer,None,2024-02-08,31
339,Sofia Martin,Consumer,Gold,2024-02-09,26
340,Jessica Johnson,Small Business,None,2024-10-02,31
341,Karen Martinez,Small Business,Silver,2025-05-18,18
342,Joseph Jones,Small Business,None,2025-03-29,20
343,Anthony Martin,Consumer,Gold,2024-07-11,6
344,Anthony White,Small Business,Gold,2025-06-12,32
345,Fatima Sanchez,Consumer,Silver,2024-03-08,11
346,David Harris,Consumer,None,2025-08-05,34
347,Richard Clark,Consumer,None,2024-09-12,4
348,Lisa Thompson,Consumer,Silver,2024-10-07,13
349,Betty Lee,Consumer,None,2025-11-28,8
350,Liam Anderson,Consumer,None,2025-04-30,12
351,William Clark,Consumer,None,2024-04-02,17
352,William Ramirez,Consumer,Silver,2024-08-14,14
353,Sarah Lee,Consumer,Gold,2025-06-09,27
354,James Thomas,Consumer,Gold,2025-10-24,9
355,Joseph Rodriguez,Consumer,Gold,2025-10-20,20
356,Daniel Anderson,Consumer,Silver,2024-08-11,17
357,Sofia Gonzalez,Consumer,Silver,2024-01-08,7
358,Lisa Moore,Small Business,Silver,2024-11-01,19
359,Nancy Rodriguez,Consumer,Silver,2024-10-10,21
360,Karen Miller,Small Business,Gold,2025-06-13,10
361,Liam Gonzalez,Consumer,None,2025-11-28,21
362,Wei Martinez,Consumer,Silver,2025-03-04,17
363,Amara Thompson,Small Business,None,2024-12-17,13
364,Aisha Lee,Consumer,None,2025-11-18,31
365,William Clark,Consumer,None,2024-10-27,12
366,Thomas White,Small Business,Silver,2025-11-27,12
367,Joseph Lopez,Consumer,Gold,2024-11-10,15
368,Lisa Rodriguez,Small Business,Silver,2025-04-19,19
369,Amara Jackson,Small Business,Silver,2025-04-28,5
370,Matthew Taylor,Consumer,Gold,2025-02-27,20
371,David Miller,Enterprise,Gold,2025-02-23,22
372,Sandra Jones,Small Business,Silver,2024-07-03,21
373,Barbara Hernandez,Consumer,None,2024-01-05,4
374,William Jackson,Small Business,Gold,2025-05-16,11
375,David Martin,Consumer,None,2025-10-10,28
376,Priya Gonzalez,Consumer,Silver,2024-02-08,1
377,James Lewis,Consumer,Silver,2025-06-27,21
378,Jessica Davis,Consumer,None,2024-11-15,23
379,Amara Martinez,Small Business,None,2024-03-07,11
380,Charles Anderson,Consumer,None,2025-09-02,34
381,David Hernandez,Small Business,None,2025-01-02,32
382,Betty Smith,Small Business,None,2024-08-17,15
383,Mary Jackson,Consumer,Silver,2024-06-22,33
384,Robert Gonzalez,Consumer,Silver,2025-07-01,17
385,Patricia Perez,Small Business,None,2025-10-31,7
386,Linda Wilson,Consumer,None,2025-01-24,29
387,Elizabeth Miller,Consumer,None,2024-11-04,1
388,Carlos Rodriguez,Small Business,None,2025-03-04,9
389,Sofia Brown,Small Business,Silver,2024-04-26,19
390,Liam Miller,Enterprise,None,2025-06-19,17
391,Anthony Martinez,Consumer,Gold,2024-02-10,11
392,Priya Hernandez,Consumer,None,2024-01-03,16
393,Linda Clark,Enterprise,Gold,2024-06-01,32
394,John White,Consumer,Silver,2024-09-19,7
395,Charles Rodriguez,Consumer,None,2024-02-21,30
396,Robert Ramirez,Small Business,None,2025-01-03,19
397,Linda Brown,Small Business,Silver,2024-01-10,3
398,William Hernandez,Enterprise,None,2025-03-24,23
399,Jennifer Lopez,Consumer,None,2024-07-06,22
400,Sandra Rodriguez,Small Business,Silver,2025-05-04,25
401,William Brown,Enterprise,Gold,2024-03-01,9
402,Michael Wilson,Small Business,None,2025-08-05,31
403,Matthew Harris,Consumer,Silver,2025-09-18,23
404,David Thomas,Small Business,None,2024-04-25,32
405,John Rodriguez,Small Business,Silver,2024-01-13,21
406,Yuki White,Small Business,Silver,2025-11-16,15
407,Sofia Brown,Small Business,Silver,2025-11-08,28
408,Matthew Jones,Consumer,None,2024-01-12,4
409,Priya Ramirez,Consumer,Silver,2024-06-18,32
410,Jessica Hernandez,Consumer,Silver,2024-02-21,18
411,Matthew Gonzalez,Consumer,Gold,2024-03-21,16
412,Mark Williams,Consumer,Platinum,2025-04-02,32
413,Mary Brown,Consumer,Silver,2025-02-26,26
414,Jennifer Sanchez,Consumer,Silver,2025-06-04,20
415,Sandra Hernandez,Small Business,Gold,2024-02-25,24
416,Nancy Moore,Consumer,Silver,2025-11-03,31
417,Michael Harris,Consumer,Gold,2024-01-03,15
418,Charles Moore,Small Business,None,2025-01-17,34
419,William Thomas,Consumer,Silver,2025-02-23,9
420,Richard Brown,Consumer,Gold,2024-08-08,26
421,Nancy Brown,Enterprise,Gold,2024-02-17,27
422,Amara Brown,Small Business,Platinum,2025-04-13,29
423,David Thomas,Small Business,Silver,2025-06-27,1
424,Margaret Clark,Small Business,Gold,2025-06-04,31
425,Amara Garcia,Consumer,Silver,2024-04-16,9
426,Christopher Taylor,Enterprise,Gold,2025-03-04,25
427,Jessica Rodriguez,Enterprise,Silver,2024-12-17,26
428,David Jones,Small Business,Silver,2025-09-08,27
429,Karen Clark,Consumer,None,2025-07-20,21
430,Sofia Thompson,Enterprise,None,2024-12-19,19
431,Barbara Taylor,Small Business,Silver,2024-04-28,21
432,Amara Jackson,Small Business,Gold,2025-11-21,27
433,Charles Lewis,Consumer,None,2024-01-14,28
434,Elizabeth Johnson,Consumer,Gold,2024-07-23,4
435,Charles Perez,Small Business,Silver,2024-05-29,17
436,Charles Miller,Small Business,None,2025-01-02,3
437,Diego Ramirez,Consumer,None,2025-10-24,15
438,Charles Thompson,Consumer,Platinum,2025-01-25,4
439,Christopher Moore,Small Business,None,2024-01-14,4
440,Mark Clark,Small Business,Silver,2025-10-10,15
441,Amara Moore,Consumer,None,2024-07-17,13
442,John Garcia,Consumer,None,2025-06-10,12
443,Sarah Moore,Consumer,Gold,2024-05-13,17
444,James Hernandez,Consumer,Gold,2024-06-07,30
445,Liam Johnson,Small Business,Silver,2025-05-17,20
446,John Sanchez,Consumer,None,2025-06-22,21
447,John Sanchez,Consumer,Silver,2024-06-12,33
448,Jennifer Lopez,Small Business,None,2024-08-06,15
449,Charles Miller,Enterprise,Gold,2025-05-01,34
450,James Brown,Consumer,Silver,2025-04-01,23
451,Sofia Davis,Small Business,None,2025-11-29,3
452,Linda Gonzalez,Small Business,None,2025-07-07,17
453,Carlos Clark,Small Business,None,2025-06-10,24
454,Robert Martinez,Consumer,Platinum,2024-11-24,13
455,William Harris,Consumer,Silver,2025-10-03,1
456,Susan Ramirez,Consumer,Gold,2024-04-16,28
457,Margaret Lee,Consumer,Silver,2024-06-06,5
458,Robert Williams,Consumer,None,2024-02-25,5
459,John Jackson,Consumer,Silver,2024-09-21,15
460,Betty Wilson,Consumer,None,2024-01-18,21
461,James Lee,Consumer,Gold,2025-08-22,5
462,Daniel Robinson,Consumer,Silver,2024-04-18,33
463,Liam Williams,Consumer,Gold,2025-03-24,19
464,Mary Thomas,Consumer,Silver,2025-06-30,11
465,Aisha Martinez,Small Business,Gold,2024-11-01,10
466,Lisa Smith,Consumer,Silver,2024-05-06,10
467,Betty Moore,Consumer,Silver,2024-11-08,6
468,Daniel Miller,Small Business,None,2025-10-23,27
469,Barbara Davis,Consumer,Silver,2024-07-17,17
470,Yuki Ramirez,Consumer,Silver,2025-07-16,4
471,Charles Perez,Consumer,Silver,2024-09-13,5
472,Wei Hernandez,Small Business,None,2024-05-11,23
473,Charles Martin,Consumer,Silver,2024-07-17,5
474,Sofia Perez,Consumer,Silver,2025-08-21,20
475,Christopher Wilson,Consumer,Gold,2024-01-05,11
476,Margaret Rodriguez,Small Business,None,2024-05-17,24
477,Priya Anderson,Small Business,Silver,2025-01-02,29
478,Michael Garcia,Small Business,None,2024-10-14,6
479,Aisha Miller,Consumer,None,2025-10-03,17
480,Mary Ramirez,Consumer,Silver,2025-10-08,33
481,Betty Harris,Consumer,Silver,2024-02-07,14
482,Aisha Thomas,Consumer,Gold,2025-01-09,10
483,Amara White,Consumer,Silver,2024-05-17,19
484,Betty Lopez,Small Business,Gold,2024-01-11,33
485,Sofia Perez,Consumer,None,2025-06-10,11
486,Yuki Jackson,Enterprise,None,2025-05-10,10
487,Wei Davis,Consumer,None,2024-09-27,5
488,Susan Taylor,Consumer,Silver,2025-02-01,24
489,Robert Johnson,Small Business,Silver,2024-04-15,21
490,Sarah Clark,Consumer,None,2025-08-15,17
491,Matthew Lopez,Consumer,Platinum,2025-06-13,5
492,Joseph Taylor,Small Business,None,2024-12-27,26
493,Priya Lewis,Small Business,None,2025-05-28,1
494,Joseph Williams,Consumer,None,2025-10-20,33
495,William Lopez,Consumer,Gold,2025-11-07,8
496,Linda Thomas,Consumer,None,2025-05-05,31
497,Anthony Smith,Consumer,Silver,2024-02-14,16
498,David Lee,Small Business,None,2024-02-10,33
499,William Rodriguez,Enterprise,Silver,2025-06-13,12
500,Yuki Lee,Small Business,Platinum,2025-11-08,2
501,Susan Anderson,Consumer,Gold,2025-05-08,31
502,Liam Jones,Small Business,None,2025-09-30,12
503,Nancy Robinson,Consumer,None,2025-09-02,30
504,Matthew Jones,Consumer,Gold,2024-01-17,7
505,Fatima Perez,Consumer,None,2024-06-02,27
506,Sofia Martin,Consumer,None,2025-06-28,3
507,Priya Perez,Consumer,None,2025-09-09,9
508,Margaret Taylor,Small Business,Silver,2025-01-14,27
